date,day_name,start,end,artist,venue,venue_slug,cost,source,url,cancelled,repeating
2026-09-18,Friday,20:00,,the brilliant Flick,The Fox & Castle,fox-castle,,instagram:fox-castle,https://www.instagram.com/thefoxandcastle/p/DOGoZtljMRT/,false,true
2026-07-31,Friday,20:00,,the incredible Flick,The Fox & Castle,fox-castle,,instagram:fox-castle,https://www.instagram.com/thefoxandcastle/p/DMsG3Q1Ihhg/,false,true
2026-07-27,Monday,14:00,,SWAN SUPPORT CHARITY BBQ 🦢,The Fox & Castle,fox-castle,,instagram:fox-castle,https://www.instagram.com/thefoxandcastle/p/C9DYa0yoq8Y/,false,false
2027-03-17,Wednesday,19:30,,Marcy Dawson and Sean O’Keating,The Fox & Castle,fox-castle,,instagram:fox-castle,https://www.instagram.com/thefoxandcastle/p/C4eBE_tLLNL/,false,false
